id,show_title,season,episode,episode_title,description,video_url,image_url
2,Adventures of Robin Hood,1,1,The Coming of Robin Hood,"The classic tale of Robin Hood begins as Robin of Loxley returns from the Crusades to find his lands seized and the people oppressed by the Sheriff of Nottingham.",oldflick-television/Adventures of Robin Hood_S1E1_video.mp4,oldflick-tv-images/robin_hood.jpg
3,The Andy Griffith Show,3,23,The Big House,"Sheriff Andy Taylor faces a crisis when the town's small jail becomes overcrowded. Classic small-town comedy from Mayberry.",oldflick-television/Andy Griffith Show S3 E23_video.mp4,oldflick-tv-images/andy_griffith.jpg
4,Bonanza,2,13,The Mission,"The Cartwright family drama unfolds on the Ponderosa ranch in this classic Western series episode.",oldflick-television/Bonanza S2E13_video.mp4,oldflick-tv-images/bonanza.jpg
5,Dragnet,1,1,The Human Bomb,"Sgt. Joe Friday investigates in this pioneering police procedural. 'Just the facts, ma'am.' The series that defined TV crime drama.",oldflick-television/Dragnet (1951) S1E1_video.mp4,oldflick-tv-images/dragnet.jpg
6,Flash Gordon,1,6,Deadline at Noon,"Flash Gordon battles evil in this classic 1950s science fiction series featuring thrilling space adventures and cliff-hangers.",oldflick-television/Flash Gordon TV 1954 S1E6_video.mp4,oldflick-tv-images/flash_gordon.jpg
7,The Gumby Show,1,1,The Moon Trip,"America's favorite clay animation character Gumby embarks on fantastic adventures in this beloved children's series created by Art Clokey.",oldflick-television/Gumby Show S1E1_video.mp4,oldflick-tv-images/gumby.jpg
8,Roy Rogers Show,1,1,Smuggler's Trail,"The King of the Cowboys and his horse Trigger fight for justice in the Old West in this classic Western series.",oldflick-television/Roy Rogers Show TV 1951 S1E1_video.mp4,oldflick-tv-images/roy_rogers.jpg
9,The Beverly Hillbillies,1,1,The Clampetts Strike Oil,"Jed Clampett strikes oil and moves his family to Beverly Hills in the pilot episode of this iconic sitcom. Hilarity ensues as country folk meet high society.",oldflick-television/The Beverly Hillbillies (1962) - Season 1_Pilot_Video.mp4,oldflick-tv-images/beverly_hillbillies.jpg
10,The Lone Ranger,1,1,Enter the Lone Ranger,"The origin story of the masked hero who fights for law and order in the Old West alongside his faithful companion Tonto. 'Hi-Yo, Silver! Away!'",oldflick-television/The Lone Ranger 1949_S1E1_video (1).mp4,oldflick-tv-images/lone_ranger.jpg
11,The Lucy Show,1,1,Lucy Waits Up for Chris,"Lucille Ball returns to television in this sitcom about a widow raising two children. Classic Lucy comedy and physical humor.",oldflick-television/The Lucy Show S1E1_video.mp4,oldflick-tv-images/lucy_show.jpg
