id,title,release_year,description,video_url,poster_url
2,Dracula,1931,"Bela Lugosi stars as the iconic Count Dracula in this classic Universal horror film. After traveling to London, the vampire wreaks havoc before Professor Van Helsing arrives to stop him.",oldflick-videos/film_masterpieces_video/Dracula,oldflick-images/film_masterpieces_images/dracula.jpg
3,Frankenstein,1931,"Boris Karloff stars as the monster in this groundbreaking Universal horror film. Dr. Frankenstein's experiment to create life results in a misunderstood creature seeking acceptance.",oldflick-videos/film_masterpieces_video/Frankenstein,oldflick-images/film_masterpieces_images/frankenstein.jpg
4,Hunchback of Notre Dame,1923,"Lon Chaney delivers a stunning performance as Quasimodo, the deformed bell-ringer of Notre Dame Cathedral who falls in love with the beautiful Esmeralda.",oldflick-videos/film_masterpieces_video/Hunchback of Notre Dame,oldflick-images/film_masterpieces_images/hunchback.jpg
5,Metropolis,1927,"Fritz Lang's groundbreaking German Expressionist science fiction film depicts a futuristic city divided between wealthy industrialists and exploited workers. A visual masterpiece of silent cinema.",oldflick-videos/film_masterpieces_video/Metropolis,oldflick-images/film_masterpieces_images/metropolis.jpg
6,Nosferatu,1922,"F.W. Murnau's unauthorized adaptation of Dracula featuring Max Schreck as the terrifying Count Orlok. This German Expressionist masterpiece defined vampire cinema.",oldflick-videos/film_masterpieces_video/Nosferatu,oldflick-images/film_masterpieces_images/nosferatu.jpg
7,Phantom of the Opera,1925,"Lon Chaney stars as the disfigured musical genius haunting the Paris Opera House. His obsession with a young soprano leads to tragedy in this silent horror classic.",oldflick-videos/film_masterpieces_video/Phantom of the Opera,oldflick-images/film_masterpieces_images/phantom.jpg
8,Sherlock Jr.,1924,"Buster Keaton stars as a film projectionist who dreams himself into the movies. This innovative silent comedy features incredible stunts and groundbreaking special effects.",oldflick-videos/film_masterpieces_video/Sherlock Jr.,oldflick-images/film_masterpieces_images/sherlock_jr.jpg
9,The General,1926,"Buster Keaton's masterpiece about a Confederate train engineer who must rescue his beloved locomotive and his girlfriend during the Civil War. Widely considered one of the greatest films ever made.",oldflick-videos/film_masterpieces_video/The General,oldflick-images/film_masterpieces_images/the_general.jpg
10,The Kid,1921,"Charlie Chaplin's first full-length film follows the Tramp as he raises an abandoned child. A perfect blend of comedy and pathos featuring young Jackie Coogan.",oldflick-videos/film_masterpieces_video/The Kid (1921),oldflick-images/film_masterpieces_images/the_kid.jpg
11,The Wolf Man,1941,"Lon Chaney Jr. stars as Larry Talbot, a man cursed to transform into a werewolf. This Universal horror classic established many werewolf mythology conventions still used today.",oldflick-videos/film_masterpieces_video/The Wolf Man (1941),oldflick-images/film_masterpieces_images/wolfman.jpg
12,Sherlock Holmes - Pursuit to Algiers,1945,"Basil Rathbone and Nigel Bruce star as Holmes and Watson protecting a young heir aboard a ship bound for Algeria. One of the best entries in the Universal Sherlock Holmes series.",oldflick-videos/film_holmes_series/Sherlock Holmes - Pursuit to Algiers (1945) _ Starring Basil Rathbone & Nigel Bruce _ HD (2).mp4,oldflick-images/film_masterpieces_images/pursuit_algiers.jpg
13,Sherlock Holmes - The House of Fear,1945,"Holmes and Watson investigate mysterious deaths at a Scottish mansion where members of 'The Good Comrades' club are being murdered one by one.",oldflick-videos/film_holmes_series/Sherlock-Holmes-The-House-of-Fear-1945-S_Media_axMewHmCSaw_001_720p (1).mp4,oldflick-images/film_masterpieces_images/house_fear.jpg
14,Sherlock Holmes - The Woman in Green,1945,"Holmes faces Professor Moriarty in this thriller involving hypnotism and a series of murders where the victims' fingers are severed.",oldflick-videos/film_holmes_series/Sherlock-Holmes-The-Woman-in-Green-1945_Media_57hoEAfY5tM_001_720p (1).mp4,oldflick-images/film_masterpieces_images/woman_green.jpg

